TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
447889303.0,0.0,0.0,2500.0,0.0,0.0,0.0,90.08810424804688,1.0,1.0,1668050620.208324
448889370.0,0.0,0.0,2500.0,0.0,0.0,0.0,90.08810424804688,1.0,1.0,1668050621.208391
449889274.0,0.0,0.0,2500.0,0.0,0.0,0.0,91.17195892333984,1.0,1.0,1668050622.2082949
450889282.0,0.0,0.0,2500.0,0.0,0.0,0.0,92.03933715820312,1.0,1.0,1668050623.208303
451889370.0,0.0,0.0,2500.0,0.0,0.0,0.0,92.03933715820312,1.0,1.0,1668050624.208391
452889346.0,0.0,0.0,2500.0,0.0,0.0,0.0,94.29805755615234,1.0,1.0,1668050625.2083669
453889313.0,0.0,0.0,2500.0,0.0,0.0,0.0,95.32266235351562,1.0,1.0,1668050626.208334
454889634.0,0.0,0.0,2500.0,0.0,0.0,0.0,95.32266235351562,1.0,1.0,1668050627.2086549
455889298.0,0.0,0.0,2500.0,0.0,0.0,0.0,96.3375473022461,1.0,1.0,1668050628.208319
456889313.0,0.0,0.0,2500.0,0.0,0.0,0.0,96.8806381225586,1.0,1.0,1668050629.208334
457889338.0,0.0,0.0,2500.0,0.0,0.0,0.0,96.8806381225586,1.0,1.0,1668050630.208359
458889326.0,0.0,0.0,2500.0,0.0,0.0,0.0,98.2292709350586,1.0,1.0,1668050631.208347
459889320.0,0.0,0.0,2500.0,0.0,0.0,0.0,99.45027923583984,1.0,1.0,1668050632.208341
460889575.0,0.0,0.0,2500.0,0.0,0.0,0.0,99.64881134033203,1.0,1.0,1668050633.208596
461889270.0,0.0,0.0,2500.0,0.0,0.0,0.0,99.64881134033203,1.0,1.0,1668050634.208291
462889361.0,0.0,0.0,2500.0,0.0,0.0,0.0,99.96910095214844,1.0,1.0,1668050635.208382
463889533.0,0.0,0.0,2500.0,0.0,0.0,0.0,100.14814758300781,1.0,1.0,1668050636.208554
464889353.0,0.0,0.0,2500.0,0.0,0.0,0.0,100.14814758300781,1.0,1.0,1668050637.208374
465889503.0,0.0,0.0,2500.0,0.0,0.0,0.0,100.80870819091797,1.0,1.0,1668050638.208524
466889318.0,0.0,0.0,2500.0,0.0,0.0,0.0,101.2195053100586,1.0,1.0,1668050639.208339
467889348.0,0.0,0.0,2500.0,0.0,0.0,0.0,101.2195053100586,1.0,1.0,1668050640.208369
468889446.0,0.0,0.0,2500.0,0.0,0.0,0.0,101.67900085449219,1.0,1.0,1668050641.208467
469889344.0,0.0,0.0,2500.0,0.0,0.0,0.0,102.02655792236328,1.0,1.0,1668050642.208365
470889246.0,0.0,0.0,2500.0,0.0,0.0,0.0,102.02655792236328,1.0,1.0,1668050643.208267
471889309.0,0.0,0.0,2500.0,0.0,0.0,0.0,102.02655792236328,1.0,1.0,1668050644.20833
472889490.0,0.0,0.0,2500.0,0.0,0.0,0.0,103.41027069091797,1.0,1.0,1668050645.2085109
473889331.0,0.0,0.0,2500.0,0.0,0.0,0.0,104.15995788574219,1.0,1.0,1668050646.208352
474889286.0,0.0,0.0,2500.0,0.0,0.0,0.0,104.15995788574219,1.0,1.0,1668050647.208307
475889428.0,0.0,0.0,2500.0,0.0,0.0,0.0,104.7072525024414,1.0,1.0,1668050648.208449
476889235.0,0.0,0.0,2500.0,0.0,0.0,0.0,104.82857513427734,1.0,1.0,1668050649.208256
477889330.0,0.0,0.0,2500.0,0.0,0.0,0.0,104.82857513427734,1.0,1.0,1668050650.208351
478889285.0,0.0,0.0,2500.0,0.0,0.0,0.0,106.19735717773438,1.0,1.0,1668050651.208306
479889409.0,0.0,0.0,2500.0,0.0,0.0,0.0,107.0525894165039,1.0,1.0,1668050652.20843
480889360.0,0.0,0.0,2500.0,0.0,0.0,0.0,107.0525894165039,1.0,1.0,1668050653.208381
481889551.0,0.0,0.0,2500.0,0.0,0.0,0.0,107.84457397460938,1.0,1.0,1668050654.208572
482889306.0,0.0,0.0,2500.0,0.0,0.0,0.0,108.09861755371094,1.0,1.0,1668050655.208327
483889361.0,0.0,0.0,2500.0,0.0,0.0,0.0,108.5265884399414,1.0,1.0,1668050656.208382
484889272.0,0.0,0.0,2500.0,0.0,0.0,0.0,108.5265884399414,1.0,1.0,1668050657.208293
485889307.0,0.0,0.0,2500.0,0.0,0.0,0.0,109.57615661621094,1.0,1.0,1668050658.208328
486889280.0,0.0,0.0,2500.0,0.0,0.0,0.0,109.97431945800781,1.0,1.0,1668050659.208301
